x,y
-0.05051,-0.38091
-0.85859,-1.07031
-4.69697,-4.40758
3.38384,4.47771
1.36364,1.2151
-2.77778,-3.47251
1.16162,0.57208
0.65657,0.07295
-2.67677,-2.04007
4.89899,4.55668
2.47475,2.07782
4.19192,3.54077
-2.9798,-3.68444
-3.38384,-3.88818
-4.49495,-4.74966
3.48485,3.02627
-1.66667,-1.15837
3.9899,3.61261
3.18182,3.68765
-3.88889,-4.96847
-3.58586,-3.94514
-3.48485,-3.7614
3.28283,3.34056
-3.9899,-3.79592
-1.06061,-0.34
4.29293,4.06612
2.87879,3.82022
-3.78788,-2.77111
2.57576,2.02353
1.66667,1.59428
3.58586,2.73779
-4.59596,-4.6369
-1.86869,-1.65689
-0.35354,-1.06583
1.9697,1.54981
5.0,5.48876
2.9798,3.37122
4.09091,4.53569
3.88889,3.712
0.45455,-1.01872
1.86869,2.77289
-1.56566,-1.93145
-5.0,-3.41151
-4.89899,-3.41985
3.78788,3.97574
-2.37374,-3.15493
-4.19192,-3.90839
-2.87879,-2.25028
-0.9596,0.11772
-4.29293,-4.25587
-3.08081,-4.25164
3.68687,4.12706
2.27273,2.5573
-3.18182,-2.65977
0.85859,1.43854
1.76768,0.72031
-0.45455,-1.41349
-1.36364,-1.6057
-0.55556,-0.391
0.55556,1.68268
