x,y
2.67677,9.90032
-1.66667,3.12361
4.29293,22.13191
-1.16162,1.09895
-0.45455,3.20935
1.86869,4.78096
0.45455,3.33411
-1.9697,3.79022
2.77778,11.31943
-1.86869,6.20114
4.09091,19.27119
-1.26263,3.97883
3.48485,11.30964
3.58586,11.14499
-3.68687,14.18066
4.89899,24.70777
-4.39394,21.87226
-0.85859,2.35083
-4.59596,20.49369
-0.75758,1.93176
-3.38384,13.27393
2.17172,7.64451
2.27273,5.16254
0.05051,1.18997
3.68687,15.30552
-2.9798,7.19879
-0.05051,1.38367
-1.56566,3.4612
-2.77778,10.59516
-5.0,27.0753
3.9899,16.06186
1.26263,1.38962
-4.49495,19.94659
3.28283,9.56114
-4.69697,23.45595
0.15152,0.02006
-3.48485,10.72721
0.9596,1.64846
3.18182,15.58735
2.47475,8.74318
1.16162,4.27218
-3.78788,15.75146
2.37374,4.58756
-0.9596,1.49197
-0.65657,0.49642
-1.06061,0.67257
-2.17172,3.28114
2.07071,6.18277
0.65657,3.37119
4.79798,27.20178
3.78788,16.26348
-4.89899,27.93713
2.87879,10.60863
0.25253,2.64253
1.46465,1.06154
-4.09091,17.00905
4.49495,22.52591
4.59596,19.87804
-3.28283,14.60437
0.85859,3.42103
