x,y
-5.0,27.0753
-4.89899,27.93713
-4.79798,23.03906
-4.69697,23.45595
-4.59596,20.49369
-4.49495,19.94659
-4.39394,21.87226
-4.29293,18.65559
-4.19192,20.39096
-4.09091,17.00905
-3.9899,17.56023
-3.88889,12.19745
-3.78788,15.75146
-3.68687,14.18066
-3.58586,12.74134
-3.48485,10.72721
-3.38384,13.27393
-3.28283,14.60437
-3.18182,9.85627
-3.08081,10.71936
-2.9798,7.19879
-2.87879,7.15119
-2.77778,10.59516
-2.67677,9.86443
-2.57576,10.00701
-2.47475,9.27397
-2.37374,4.60045
-2.27273,7.20971
-2.17172,3.28114
-2.07071,6.27475
-1.9697,3.79022
-1.86869,6.20114
-1.76768,1.4803
-1.66667,3.12361
-1.56566,3.4612
-1.46465,2.76575
-1.36364,4.88709
-1.26263,3.97883
-1.16162,1.09895
-1.06061,0.67257
-0.9596,1.49197
-0.85859,2.35083
-0.75758,1.93176
-0.65657,0.49642
-0.55556,2.42149
-0.45455,3.20935
-0.35354,1.29311
-0.25253,2.82445
-0.15152,-1.47806
-0.05051,1.38367
0.05051,1.18997
0.15152,0.02006
0.25253,2.64253
0.35354,-1.30543
0.45455,3.33411
0.55556,0.52155
0.65657,3.37119
0.75758,2.67431
0.85859,3.42103
0.9596,1.64846
1.06061,1.34284
1.16162,4.27218
1.26263,1.38962
1.36364,2.20185
1.46465,1.06154
1.56566,1.23059
1.66667,1.95385
1.76768,-0.56246
1.86869,4.78096
1.9697,6.57784
2.07071,6.18277
2.17172,7.64451
2.27273,5.16254
2.37374,4.58756
2.47475,8.74318
2.57576,10.3992
2.67677,9.90032
2.77778,11.31943
2.87879,10.60863
2.9798,12.385
3.08081,13.31795
3.18182,15.58735
3.28283,9.56114
3.38384,12.90303
3.48485,11.30964
3.58586,11.14499
3.68687,15.30552
3.78788,16.26348
3.88889,13.00762
3.9899,16.06186
4.09091,19.27119
4.19192,20.56197
4.29293,22.13191
4.39394,18.50021
4.49495,22.52591
4.59596,19.87804
4.69697,21.16744
4.79798,27.20178
4.89899,24.70777
5.0,25.48838
